local_name_unique,record_id,local_name,municipality,region,macro_area,restaurant_type,source_url,source_year,entity_source_status,observed_fields,legacy_rating_unverified,legacy_num_reviews_unverified,legacy_price_range_unverified,legacy_cuisine_unverified,macro_area_tourist_presences_2024_m_istat,avg_spend_eur_synth,seats_synth,employees_synth,revenue_eur_synth,profit_eur_synth,total_assets_eur_synth,equity_eur_synth,digital_presence_score_synth,restaurants_1km_synth,revenue_per_employee_derived_synth,profit_margin_derived_synth,capacity_per_employee_derived_synth,reputation_score_synth,manager_propensity_score_synth,pay_propensity_score_synth,giftcard_propensity_score_synth,pro_propensity_score_synth,p_manager_synth,p_pay_synth,p_giftcard_synth,p_pro_synth,y_manager,y_pay,y_giftcard,y_pro,generation_seed;;;
Glam Enrico Bartolini - Venice,REST_00001,Glam Enrico Bartolini,Venice,Veneto,Nord,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.5,1425.0,€€€€,Creative,260.5,46.59835643127012,56,4,922923.7367466639,22919.74484199791,1106239.529123033,310589.4618996144,0.5843058706585885,17,230730.934186666,0.02483384480151172,14.0,0.691841354900429,-0.5936901276414384,0.2149930202586582,-0.2371957896091204,-0.01239928307386327,0.3444128580261543,0.5535421782257046,0.4164908137041337,0.4969002189453677,0,1,1,0,20260812
Acquolina - Rome,REST_00002,Acquolina,Rome,Lazio,Centro,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.0,4554.0,€€€€,Creative,115.2,63.88218267808864,97,10,2762762.309881811,92831.74040394704,4356822.827368104,1098115.769035667,0.584203380786865,15,276276.2309881811,0.03360105937159621,9.7,0.4066244889582812,1.032172324120683,0.3404515089066711,0.8099212535934743,1.429826861297621,0.7275390402119642,0.5843001956761816,0.6703837594981454,0.8068743373181217,1,0,1,1,20260812
L'Olivo - Anacapri,REST_00003,L'Olivo,Anacapri,Campania,Sud_Isole,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.6,729.0,€€€€,Italian Contemporary,90.6,33.01680487834747,40,3,358714.0451404653,32707.85107215891,221617.1043875405,50674.84971384803,0.4976502446613021,5,119571.3483801551,0.09118084868784873,13.33333333333333,0.9698488241389505,-1.111437245153653,-0.773697668567183,-0.8408804921699685,-1.061710009583613,0.2384062283192014,0.3156797696377889,0.2807225215841914,0.2569828052843411,0,0,0,0,20260812
Santa Elisabetta - Florence,REST_00004,Santa Elisabetta,Florence,Toscana,Centro,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.7,1501.0,€€€€,Creative,115.2,49.9303640701003,83,7,1482735.201819625,73111.3193481001,1040880.029673135,242336.452105933,0.6439399298898074,13,211819.3145456607,0.04930841276202068,11.85714285714286,0.8275958563189519,0.4903867902782166,0.4134320276536712,0.3850147207444674,0.538355530674984,0.6083511912669106,0.6019105284828697,0.5707752183462206,0.6314297894064309,1,0,0,0,20260812
George Restaurant - Naples,REST_00005,George Restaurant,Naples,Campania,Sud_Isole,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.5,437.0,€€€€,Contemporary,90.6,53.92847589015835,67,7,1234691.206637593,56021.08534592173,2044041.517703022,786586.1871424554,0.343774916971117,21,176384.4580910848,0.04537254743919549,9.571428571428571,0.7416701338705411,-0.2512497892045941,-0.384017638198303,0.09380921014796115,0.3159094467406479,0.4252519902914622,0.4051582582080157,0.4984523074800434,0.5783270307854943,1,0,0,0,20260812
Oro Restaurant - Venice,REST_00006,Oro Restaurant,Venice,Veneto,Nord,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.8,4522.0,€€€€,Italian Contemporary,260.5,65.87659235491468,44,4,1041530.4639184,27212.36520002636,965563.8266180073,424223.0601295757,0.4605194966651487,24,260382.6159795999,0.02612728685596887,11.0,0.7568814087336002,-0.7765295271138316,0.1505103251828327,-0.09702925556210287,0.270921916800639,0.3043793830750225,0.5375567092512538,0.4509014195024343,0.5673192201814038,1,1,0,0,20260812
Aroma - Rome,REST_00007,Aroma,Rome,Lazio,Centro,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.4,115.0,€€€€,Modern Cuisine,115.2,49.10837786425739,108,11,2313431.094769519,116192.4783089607,2996600.61600216,1407068.69224853,0.5165533071898568,25,210311.9177063199,0.05022517358380048,9.818181818181818,0.7018463133636491,1.094824396739474,0.3863057404029757,1.090006600960582,1.453791605691298,0.7397798034740157,0.5953930660824354,0.7290892261606451,0.810581280011232,0,0,1,1,20260812
La Sala dei Grappoli - Montalcino,REST_00008,La Sala dei Grappoli,Montalcino,Toscana,Centro,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.3,1409.0,€€€€,Modern Cuisine,115.2,56.56908689948212,71,6,1484563.683238913,163732.6407136728,1747350.458720093,726033.2003299621,0.4663265756457597,11,247427.2805398188,0.1102900755031626,11.83333333333333,0.7511925250098912,-0.08041828276025417,0.03206309472043326,0.1271174632431041,0.286613058268783,0.4674415649073946,0.508015087038002,0.506778950403587,0.5711667520697072,0,1,1,1,20260812
Due Camini - Savelletri,REST_00009,Due Camini,Savelletri,Puglia,Sud_Isole,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.2,69.0,€€€€,Vegetarian,90.6,55.66810251199158,68,5,1173296.739295251,108189.7436833908,648890.3604443658,311973.1069533571,0.3069707190619712,8,234659.3478590502,0.09221004376810568,13.6,0.6981667453199217,-0.7040430169929498,-0.5266282246704528,-0.3340216036522477,-0.08436569272742953,0.3199409865807505,0.3713036438396947,0.393166419757082,0.4789210778940898,0,1,0,0,20260812
Borgo San Jacopo - Florence,REST_00010,Borgo San Jacopo,Florence,Toscana,Centro,restaurant,https://guide.michelin.com/it/it/selection/italy/ristoranti,2026,LEGACY_IMPORTED_NOT_INDIVIDUALLY_REVERIFIED,local_name;municipality;restaurant_type (legacy import; not individually reverified),4.5,4627.0,€€€€,Modern Cuisine,115.2,59.91813095348706,78,8,2006988.118883813,134006.8453819083,1355539.331625907,320158.4009912192,0.5533343661817115,19,250873.5148604766,0.06677012390907239,9.75,0.7409660147561327,0.5893764765691362,0.3871762066243456,0.656052568191374,0.9273366981976918,0.6316673583771758,0.5956027441128429,0.6355386896825216,0.7165346470530121,1,1,0,1,20260812
